Column1,분류일련번호,백문일련번호,대분류,중분류,백문백답주제명,백문내용,백답간략내용,서비스 시간
474,84,5311,부동산/임대차,공인중개사 1,위험부담,"주택을 매매하는 계약을 체결하였습니다. 그런데, 잔금 지급일이 한참 지났는데도 매수인이 이행을 하고 있지 않다가 그 목적물인 주택이 지진으로 붕괴해버리고 말았습니다. 매수인은 자신에게 책임이 없다며 잔금지급을 못하겠다고 하는데, 어떻게 해야 하나요?","쌍무계약의 당사자 일방의 채무가 당사자쌍방의 책임 없는 사유로 이행할 수 없게 된 때에는 채무자는 상대방의 이행을 청구하지 못합니다. 그러나 쌍무계약의 당사자 일방의 채무가 채권자의 책임있는 사유로 이행할 수 없게 된 때에는 채무자는 상대방의 이행을 청구할 수 있습니다.<br/>◇ 위험부담<br/>☞ 주택을 매매하는 계약을 체결한 후에 그 목적인 주택이 화재로 소실한 때에는 이 쌍무계약에서 생긴 일방의 채무인 주택인도의 채무는 이행불능으로 소멸하게 되는데 이 경우 다른 일방이 부담하는 대금지급채무의 운명은 어떻게 되는지 문제가 됩니다. 만약 운명을 함께하여 소멸한다고 하면 매도인은 대금을 청구할 수 없게 되므로, 쌍무계약의 일방의 채무가 소멸되었다고 하는 손실은 그 소멸된 채무의 채무자(매도인)가 부담하게 됩니다. 이 경우 전자를 ① 채무자위험부담주의(債務者危險負擔主義)라 하고, 후자를 ② 채권자위험부담주의(債權者危險負擔主義)라 합니다.<br/>",2018-05-21 13:23
475,84,5310,부동산/임대차,공인중개사 1,법정지상권,"동일인의 소유에 속하는 토지 및 그 지상 건물에 관하여 공동저당권이 설정된 후 그 지상 건물이 철거되고 새로 건물이 신축되었습니다. 그런데, 그 후에 저당물의 경매로 토지와 그 신축건물이 다른 소유자에게 속하게 되었는데, 그 신축건물을 철거해 달라고 합니다. 건물을 철거해야 하나요?",동일인의 소유에 속하는 토지 및 그 지상 건물에 관하여 공동저당권이 설정된 후 그 지상 건물이 철거되고 새로 건물이 신축된 경우에는 그 신축건물의 소유자가 토지의 소유자와 동일하고 토지의 저당권자에게 신축건물에 관하여 토지의 저당권과 동일한 순위의 공동저당권을 설정해 주는 등 특별한 사정이 없는 한 저당물의 경매로 인하여 토지와 그 신축건물이 다른 소유자에 속하게 되더라도 그 신축건물을 위한 법정지상권은 성립하지 않습니다.<br/>◇ 법정지상권의 성립요건<br/>,2018-05-21 13:22
476,84,5308,부동산/임대차,공인중개사 1,취득시효,"30년전에 집앞 공터에 집을 확장하여 짓고 살고 있는데요, 확인해보니 확장된 부분이 타인의 토지였습니다. 혹시 이 경우 해당 토지에 대한 점유취득 시효 주장이 가능할까요?","20년간 ① 소유의 의사로 ② 평온, ③ 공연하게 부동산을 점유하는 자는 등기함으로써 그 소유권을 취득할 수 있습니다.<br/>◇ 부동산의 점유취득 시효<br/>☞ “취득시효”란 일정한 사실상태가 계속된 경우에 그것에 대해 일정한 효과, 즉 권리의 취득을 부여하는 것을 말합니다. 시효로 취득할 수 있는 권리는 소유권과 그 밖의 재산으로서, 점유를 수반하지 않는 물권(저당권), 가족관계를 전제로 하는 부양을 받을 권리, 법률의 규정에 의하여 성립하는 권리(점유권·유치권), 한번 행사하면 소멸하는 권리(취소권, 환매권, 해제권)는 성질상 또는 법률상 취득시효가 인정되지 않습니다.<br/>",2018-05-21 13:20
477,84,5312,부동산/임대차,공인중개사 1,임대차 계약의 묵시적 갱신,"임대차 계약을 체결한 후 2년이 지났는데, 임대인으로부터 계약연장에 대한 아무런 이야기가 없어 계속 거주하고 있었습니다. 그런데 6개월 후에 갑작스럽게 지방발령으로 이사를 가야해서 방을 빼달라고 했더니 2년이 지나기 전에는 방을 빼줄수가 없다고 하네요. 어떻게 해야 하나요?  ","임대차 계약의 묵시적 갱신의 경우 임대차의 존속기간은 2년으로 봅니다. 그러나 계약이 갱신된 경우 임차인은 언제든지 임대인에게 계약해지(契約解止)를 통지할 수 있으며, 이러한 해지는 임대인이 그 통지를 받은 날부터 3개월이 지나면 그 효력이 발생합니다.<br/>◇ 임대차 계약의 묵시적 갱신<br/>☞ 임대인이 임대차기간이 끝나기 6개월 전부터 2개월 전까지의 기간에 임차인에게 갱신거절(更新拒絶)의 통지를 하지 않거나 계약조건을 변경하지 않으면 갱신하지 않는다는 뜻의 통지를 하지 않은 경우에는 그 기간이 끝난 때에 전 임대차와 동일한 조건으로 다시 임대차한 것으로 봅니다. 임차인이 임대차기간이 끝나기 2개월 전까지 통지하지 않은 경우에도 또한 같습니다.<br/>",2021-03-08 9:47
478,84,5332,부동산/임대차,아파트 입주,양계약과 다르게 지어진 아파트,아파트에 입주해 보니 바닥재와 창틀이 모델하우스에서 봤던 것과 다릅니다. 이 경우 손해배상을 받을 수 있나요?,"네. 손해배상을 받을 수 있습니다.<br/>◇ 손해배상을 청구할 수 있는 경우<br/>☞ 분양계약서에 아파트의 외형·재질 등에 대한 별다른 내용이 없는 경우에는 모델하우스의 견본이 분양계약의 내용에 포함될 수 있고, 이 경우 분양계약을 해제하거나 사업주체로부터 대금감액, 손해배상을 받을 수 있습니다.<br/>☞ 공정거래위원회는 분양주택에 사용된 자재 및 설비 등이 견본주택에 시공된 것과 품질 등에서 차이가 있는 경우에는 설비대체 또는 차액환급을 하도록 정하고 있습니다.<br/>",2018-06-11 14:39
479,84,5336,부동산/임대차,아파트 입주,하자보수청구 절차,"아파트 하자보수를 청구하면, 어떻게 처리 되나요?","사업주체는 하자보수를 처리하고, 하자보수가 완료되면 결과를 통보합니다.<br/>◇ 사업주체의 보수 및 통보<br/>☞ 사업주체는 하자보수를 청구받은 날부터 15일 이내에 그 하자를 보수하거나 보수계획을 입주자, 입주자대표회의, 관리주체, 관리단 및 공공임대주택의 임차인 또는 임차인대표회의에 서면 통보하고 보수해야 합니다. 다만, 하자가 아니라고 판단되는 사항은 이유를 기재하여 서면으로 통보해야 합니다.<br/>",2018-06-11 14:39
480,84,5338,부동산/임대차,아파트 입주,하자분쟁조정,하자심사·분쟁조정 또는 분쟁재정의 절차는 어떻게 진행되나요?,"하자심사·분쟁조정 또는 분쟁재정을 신청하려는 자가 하자심사·분쟁조정위원회에 신청서와 필요한 서류를 제출하면 다음의 절차에 따라 진행됩니다.<br/>◇  하자심사·분쟁조정 또는 분쟁재정 절차<br/>☞ 하자심사의 경우 ① 사건이 접수되고, ② 피신청인에게 답변요청→ ③ (필요시)의견수렴 → ④사실조사를 거쳐→ ⑤ (필요시)하자감정→ ⑥ 하자판정(의결)→ ⑦ 하자여부 판정서 교부 절차에 따라 진행됩니다.<br/>",2022-01-14 9:43
481,84,5333,부동산/임대차,아파트 입주,분양광고가 허위·과장 광고인 아파트 손해배상,"아파트 분양광고에서는 아파트 단지 맞은편에 전철역사가 신설될 예정이라고 하여 입주하였는데, 입주하고 보니 그렇지 않습니다. 손해배상을 받을 수 있나요?","네. 손해배상을 받을 수 있습니다.<br/>이와 유사한 판례에서 건설회사가 지방자치단체의 추상적·일방적 개발계획에 근거하여 그 시행이 확정되지 않았음에도 아파트 단지 맞은편에 전철화와 관련하여 역사가 신설될 예정이라는 취지로 아파트 분양광고를 한 것은 사실과 다르거나 사실을 지나치게 부풀려 소비자를 속이거나 소비자로 하여금 잘못 알게 할 우려가 있는 광고를 한 것으로서, 공정한 거래질서를 저해할 우려가 있는 광고에 해당하므로 위 건설회사는 수분양자들에 대하여 「표시·광고의 공정화에 관한 법률」이 정한 허위·과장 광고로 인한 손해배상책임을 부담한다고 판시한바 있습니다(대법원 2010. 7. 22. 선고 2007다59066 판결).<br/>",2018-06-11 14:39
482,84,5337,부동산/임대차,아파트 입주,하자보수보증금,하자보수보증금은 어떤 용도로 사용할 수 있나요?,"하자보수보증금은 하자심사·분쟁조정위원회의 하자 여부 판정 등에 따라서 용도의 범위 내에서 입주자대표회의가 직접 보수하거나 제3자에게 보수하게 하는 데 사용할 수 있습니다.<br/>◇ 하자보수보증금의 용도<br/>☞ 입주자, 입주자대표회의, 관리주체, 관리단 및 공공임대주택의 임차인 또는 임차인대표는 하자보수보증금을 입주자대표회의가 직접 보수하거나 제3자에게 보수하게 하는 데 필요한 용도로서 하자보수와 관련된 다음의 용도로만 사용해야 합니다.<br/>",2022-01-14 9:43
483,84,5334,부동산/임대차,아파트 입주,인테리어 공사,"아파트 내부 인테리어를 새로 바꾸려고 합니다. 벽지, 바닥재를 바꾸고 창틀을 교체하려고 하는데, 미리 신고를 해야 하나요? ","신고하지 않아도 됩니다. 다만, 관리주체의 동의를 받아야 합니다.<br/>◇ 관리주체의 동의를 받아야 하는 행위<br/>☞ 창틀·문틀의 교체, 세대 내 천장·벽·바닥의 마감재 교체, 급·배수관 등 배관설비의 교체 및 난방방식의 변경(시설물의 파손·철거를 제외)과 같은 경미한 사항이나 인테리어 공사를 위해 아파트 복도에 물건을 적재하여 통행·피난 및 소방을 방해하는 행위 등을 하려는 경우에는 시장·군수·구청장의 허가 또는 신고를 요구하지는 않으나 관리주체(관리사무소)의 동의를 받아야 합니다.<br/>",2021-11-08 14:19
484,84,5335,부동산/임대차,아파트 입주,하자담보책임기간,"최근 입주한 새 아파트 화장실의 타일이 떨어지고 벽에 금이 가는데, 언제까지 하자 보수를 청구할 수 있나요? ","전유부분은 입주자에게 인도한 날부터, 공용부분은 아파트의 사용검사일부터 정해진 하자담보책임기간에 공사상 잘못으로 인한 균열·침하(沈下)·파손 등 하자가 발생한 경우에는 입주자·입주자대표회의·관리주체·관리단은 사업주체에게 하자보수를 청구할 수 있습니다.<br/>이 경우 하자담보책임기간은 시설공사별, 내력구조별로 다르며, 타일공사의 경우에는 하자담보 책임기간이 2년입니다.<br/>◇ 하자담보 책임기간<br/>☞ 시설공사별 하자는 공사상의 잘못으로 인한 균열·처짐·비틀림·들뜸·침하·파손·붕괴·누수·누출·탈락, 작동 또는 기능불량, 부착·접지·결선 불량, 고사 및 입상불량 등이 발생하여 건축물 또는 시설물의 안전상·기능상 또는 미관상의 지장을 초래할 정도의 결함이 발생한 경우를 말하고, 담보책임기간은 5년 이내입니다(시설공사 유형별로 기간이 다름).<br/>",2020-07-10 11:27
485,84,5355,부동산/임대차,공인중개사 2,공인중개사 개설등록,"오랜 노력 끝에 공인중개사 자격증을 취득했습니다. 공인중개사 일을 바로 시작하려고 하는데, 어떤 절차나 과정 없이도 바로 사무소를 차리고 업무를 시작할 수 있는 건가요? ","중개업을 영위하려는 자는 등록관청에 중개사무소 개설등록을 신청해야 하며, 등록신청일전 1년 이내에 실무수습교육을 받아야 합니다.<br/>◇ 개설등록 신청 전 실무교육<br/>☞ 중개사무소의 개설등록을 신청하려는 자는 등록신청일전 1년 이내에 시·도지사가 실시하는 실무교육(실무수습을 포함)을 받아야 합니다.<br/>",2018-08-13 10:21
486,84,5360,부동산/임대차,공인중개사 2,농지의 소유상한,"현재 서울에 거주하고 있습니다. 고향인 지방 근교에 주말농장을 소유하고 싶은데, 매입이 가능한가요? ",주말·체험영농을 하려는 사람은 농지취득자격증명을 발급받아 총 1천㎡ 미만의 농지를 소유할 수 있습니다.<br/>◇ 농지의 소유 상한<br/>☞ 농지를 자기의 농업경영에 이용하거나 이용할 사람은 농지취득자격증명을 발급받아 소유 상한 없이 이를 소유할 수 있습니다.<br/>☞ 그러나 농지를 자경하지 않는 사람에게는 다음과 같은 농지의 소유 상한에 관한 규정이 적용됩니다.<br/>테이블 단락<br/>,2020-09-03 16:32
487,84,5358,부동산/임대차,공인중개사 2,부동산 거래의 신고,"공인중개사를 통해 부동산 매매를 했습니다. 부동산을 거래할 경우 신고를 해야 한다고 하는데, 제가 직접 해야 하는 건가요?",거래당사자는 부동산 매매 계약을 체결한 경우 거래신고사항을 신고관청에 공동으로 신고해야 합니다. 그러나 개업공인중개사가 거래계약서를 작성·교부한 경우에는 해당 공인중개사가 신고를 해야 합니다.<br/>◇ 부동산 거래의 신고<br/>☞ 거래당사자는 부동산 매매 계약을 체결한 경우 거래신고사항을 부동산거래계약 신고서에 공동으로 서명 또는 날인하여 거래계약의 체결일부터 30일 이내에 그 권리의 대상인 부동산등의 소재지를 관할하는 시장·군수 또는 구청장(이하 &quot;신고관청&quot;이라 함)에게 공동으로 신고해야 합니다.<br/>,2020-05-08 9:35
488,84,5361,부동산/임대차,공인중개사 2,1세대 1주택의 양도소득세,"2년 전에 투자 목적으로 구매해 전세 놓은 빌라를 팔려고 합니다. 그런데, 그 집에서 거주한 적이 한 번도 없었는데, 양도소득세를 납부해야 하나요? ","1세대가 양도일 현재 국내에 1주택을 보유하고 있는 경우로서 2년 이상 보유한 경우에는 양도소득세가 과세되지 않습니다. 다만, 조정지역에서 2017년 8월 3일 이후에 취득한 주택은 2년 이상 보유 외에 2년의 거주요건이 있어야 양도소득세가 과세되지 않습니다.<br/>◇ 양도소득세의 개념<br/>☞ “양도소득세”란 부동산, 부동산에 관한 권리, 주식 등을 유상으로 양도하여 얻은 양도 차익에 대해 부과하는 국세를 말합니다.<br/>◇ 비과세 양도소득(1세대 1주택)<br/>",2022-01-14 11:20
489,84,5356,부동산/임대차,공인중개사 2,개업공인중개사의 고용인 신고,"중개 업무가 많아져서 사무실에 소속공인중개사나 중개보조원 1명을 고용하려고 하는데요,  고용을 위한 필요 절차가 따로 있나요? ","소속공인중개사나 중개보조원을 고용하려면 소속공인중개사 실무교육 및 중개보조원 직무교육을 받도록 해야 하며, 업무개시 전까지 등록관청에 신고해야 합니다.<br/>◇ 개업공인중개사의 고용인 신고<br/>☞ 개업공인중개사는 소속공인중개사 또는 중개보조원을 고용한 경우에는 실무교육 또는 직무교육을 받도록 한 후 업무개시 전까지 등록관청에 신고(전자문서에 따른 신고 포함)해야 합니다.<br/>",2018-08-13 10:20
490,84,5359,부동산/임대차,공인중개사 2,주택의 분양가격 제한,"인근에 건설하는 아파트를 신규 분양받으려고 하는데요, 분양가상한제 적용제외 주택이라고 합니다. 분양가상한제가 적용되는 기준이 어떻게 되나요?","공공택지나 공공택지 외의 택지에서 주택가격 상승 우려가 있어 국토교통부장관이 주거정책심의위원회 심의를 거쳐 지정하는 지역은 분양가상한제가 적용되지만, 도시형 생활주택, 경제자유구역 등에서 건설·공급하는 경우에는 분양가 상한제가 적용되지 않습니다.<br/>◇ 분양가상한제 적용주택<br/>☞ 사업주체가 일반인에게 공급하는 공동주택 중 다음의 어느 하나에 해당하는 지역에서 공급하는 주택의 경우에는 아래에서 정하는 기준에 따라 산정되는 분양가격 이하로 공급해야 합니다.<br/>",2022-01-14 11:20
491,84,5357,부동산/임대차,공인중개사 2,개업공인중개사의 손해배상책임과 반환채무이행보장,"부동산 중개 과정에서 공인중개사의 부주의로 재산상 손해를 입었습니다. 이 경우 무슨 보험금을 청구할 수 있다고 들었는데, 어떻게 청구하는 것인가요?","개업공인중개사는 중개행위 중 거래상대방에게 손해를 발생하게 한 경우 그 손해를 배상할 책임이 있으며, 이를 위해 보증보험 또는 공제에 가입하거나 공탁을 해야 합니다. 중개의뢰인이 보험금을 지급받으려면 손해배상합의서나 법원의 판결 등의 사본을 첨부해 보증기관에 청구하면 됩니다.<br/>◇ 개업공인중개사의 손해배상책임<br/>☞ 개업공인중개사는 중개행위를 하는 경우 고의 또는 과실로 인하여 거래당사자에게 재산상의 손해를 발생하게 하거나, 자기의 중개사무소를 다른 사람의 중개행위의 장소로 제공함으로써 거래당사자에게 재산상의 손해를 발생하게 한 때에는 그 손해를 배상할 책임이 있습니다.<br/>",2023-03-08 17:19
492,84,5363,부동산/임대차,건물 환경관리,급수관의 교체,"급수관 검사를 해야 하는 건물을 관리하고 있는데, 준공검사 후 3년이 지났습니다. 급수관 검사 및 청소를 올해 해야 하는지, 검사 후 이상이 발견되면 어떻게 해야 하는지 궁금합니다.","아닙니다. 급수관 검사 대상 건축물 또는 시설의 소유자 또는 관리자는 그 건축물 또는 시설의 준공검사(급수관의 갱생·교체 등의 조치를 한 경우 포함) 후 5년이 지난 날부터 2년 주기로 급수관의 상태에 대하여 검사를 하면 됩니다.<br/>◇ 급수관 청소<br/>☞ 급수관 검사 대상 건축물 또는 시설의 소유자 또는 관리자는 일반검사를 실시한 결과 검사항목 중 탁도, 수소이온 농도, 색도 또는 철에 대한 검사기준을 초과하는 경우에는 급수관을 세척(급수관 내부의 이물질이나 미생물막 등을 관에 손상을 주지 않으면서 물이나 공기를 주입하는 방법 등으로 제거하는 것)해야 합니다.<br/>",2018-09-10 10:23
493,84,5373,부동산/임대차,건물 환경관리,폐기물 분리배출 위반 시 개선이행조치,관리하는 건물의 재활용 배출기준을 지키지 않아 개선이행명령을 받았습니다. 당장 개선을 할 수 없는데 어떻게 해야 하나요?,개선이행명령을 받았으나 기한 내에 개선을 할 수 없을 경우에는 이행기간 연장 신청을 할 수 있습니다.<br/>◇ 개선이행기간의 연장신청<br/>☞ 개선기간 및 수거 여건 등을 고려하여 폐기물배출자가 이행기간의 연장을 신청할 경우에는 3개월의 범위에서 그 기간이 연장될 수 있습니다.<br/>☞ 폐기물배출자가 개선이행조치명령을 이행하지 않을 경우에는 100만원 이하의 과태료가 부과되니 유의하시기 바랍니다.<br/>,2018-09-11 16:29
494,84,5362,부동산/임대차,건물 환경관리,안전점검의 실시시기,연면적이 5천제곱미터 이상인 건물을 소유하고 있습니다. 저수조를 청소하고 위생점검도 받아야 한다는데 언제 해야 하나요?,"◇ 저수조 청소<br/>☞ 저수조 위생조치 대상 건물의 소유자 등은 반기 1회 이상 저수조를 청소해야 하고, 저수조가 신축되었거나 1개월 이상 사용이 중단된 경우에는 사용 전에 청소를 해야 합니다.<br/>◇ 저수조 위생점검<br/>☞ 저수조 위생조치 대상 건물의 소유자 등은 월 1회 이상 저수조의 위생상태를 점검기준에 따라 점검해야 합니다.<br/>",2018-09-10 10:22
495,84,5364,부동산/임대차,건물 환경관리,금연구역 지정,"연면적 1천제곱미터 이상의 건물을 소유하고 있는데, 계단에서 흡연을 하는 사람이 많아 계단을 금연구역을 지정하려고 합니다. 금연구역 지정은 어떻게 해야 하나요?","금연구역임을 나타내는 표지판 또는 스티커를 달거나 부착하면 됩니다.<br/>◇ 금연구역의 표시<br/>☞ 금연구역임을 나타내는 표지판 또는 스티커를 해당 시설을 이용하는 사람이 잘 볼 수 있도록 건물 출입구와 그 외 계단, 화장실 등의 주요 위치에 부착해야 합니다.<br/>☞ 금연표시의 예시<br/>",2018-09-10 10:25
496,84,5365,부동산/임대차,건물 환경관리,교통유발부담금 납부,제가 소유하고 있는 건물에 대해 교통유발부담금을 납부하라는 고지서를 받았습니다. 교통유발부담금이란 무엇이고 반드시 납부해야만 하는 건가요?,"네, 교통유발부담금이란 교통혼잡을 완화하기 위하여 원인자 부담의 원칙에 따라 혼잡을 유발하는 시설물에 부과하는 경제적 부담을 말하는데, 미납 시 가산금 등을 부과받을 수 있습니다.<br/>◇ 교통유발부담금의 부과<br/>☞ 특별시장·광역시장·특별자치시장 및 특별자치도지사(이하 “시장 등”이라 함)는 도시교통정비지역에서 교통혼잡의 원인이 되는 시설물의 소유자에게 매년 교통유발부담금(이하 “부담금”이라 함)을 부과·징수할 수 있습니다.<br/>",2020-04-29 9:13
497,84,5570,부동산/임대차,건축법 등 위반건축물(불법건축물),행정상 제재(용도변경),「건축법」을 위반하여 용도변경을 하면 제재를 받는다고 하는데 예를 들면 어떤 것들이 있나요?,"용도변경은 하위군(건축기준이 약한 시설군)에 속하는 건축물의 용도를 상위군 시설에 해당하는 용도로 변경하는 경우에는 허가 대상이고, 상위군 시설에 속하는 건축물의 용도를 하위군(건축기준이 약한 시설군)에 해당하는 용도로 변경하는 경우에는 신고 대상입니다.<br/>◇ 용도변경 위반행위를 예시하면 다음과 같습니다.<br/>☞ 지상 1층 근린생활시설(「건축법 시행령」 제14조제5항제7호 근린생활시설군)을 주거용(「건축법 시행령」 제14조제5항제8호 주거·업무시설군)으로 개조하여 사용하는 경우(용도변경 신고 위반)<br/>",2020-06-01 18:30
498,84,5566,부동산/임대차,건축법 등 위반건축물(불법건축물),대수선의 범위,다가구주택의 가구 간 경계벽을 증설하여 가구 수를 늘리는 것이 대수선에 해당하나요?,"네, 대수선에 해당합니다.<br/>◇ 대수선<br/>☞ 대수선이란 건축물의 기둥, 보, 내력벽, 주계단 등의 구조나 외부 형태를 수선·변경하거나 증설·해체하는 것으로서 증축, 개축 또는 재축에 해당하지 않는 건축행위를 말합니다.<br/>☞ 「건축법」에는 대수선의 범위에는 “다가구주택의 가구 간 경계벽 또는 다세대주택의 세대 간 경계벽을 증설 또는 해체하거나 수선 또는 변경하는 것”으로 되어 있습니다.<br/>",2020-06-01 18:33
499,84,5567,부동산/임대차,건축법 등 위반건축물(불법건축물),위법한 건축물에 대한 규제 법령(예시),「건축법」을 위반하여 건축물을 만들면 어떤 제재를 받나요?,"「건축법」을 위반하여 건축 등 행위를 하면 다음과 같은 행정상 제재를 받게 됩니다.<br/>☞ 시정명령<br/>? 특별시장·광역시장·특별자치시장·특별자치도지사 또는 시장·군수·구청장(이하 &quot;허가권자&quot;라 함)은 대지나 건축물이 「건축법」 또는 「건축법」에 따른 명령이나 처분에 위반되면 「건축법」에 따른 허가 또는 승인을 취소하거나 그 건축물의 건축주·공사시공자·현장관리인·소유자·관리자 또는 점유자(이하 &quot;건축주등&quot;이라 함)에게 공사의 중지를 명하거나 상당한 기간을 정하여 그 건축물의 철거·개축·증축·수선·용도변경·사용금지·사용제한, 그 밖에 필요한 조치를 명할 수 있습니다.<br/>",2020-06-01 18:33
500,84,5569,부동산/임대차,건축법 등 위반건축물(불법건축물),행정상 제재(대수선),"「건축법」을 위반하여 대수선을 한 경우, 이행강제금은 어떻게 계산하나요?","「건축법」을 위반하여 대수선을 한 경우, 이행강제금은 다음과 같이 계산합니다.<br/>◇ 대수선 위반건축물의 이행강제금 계산 방법<br/>☞ 이행강제금 계산식: 시가표준액, 위반면적과 부과 요율, 감경률 및 가중률 등을 곱합니다.<br/>☞ 부과요율: 100분의 10입니다. 그러나 2012년 3월 17일 전에 대수선 위반행위를 하였다면 100분의 3이 됩니다.<br/>☞ 가중률: 임대 등 영리 목적인 경우에 다세대주택의 5세대 또는 다가구주택의 5가구 이상 증가시킨 경우라면 100분의 100의 가중률이 적용됩니다. 그러나 해당 위반건축물의 소유권을 이전받은 경우에는 가중률이 적용되지 않습니다.<br/>",2020-06-01 18:31
501,84,5568,부동산/임대차,건축법 등 위반건축물(불법건축물),행정상 제재(건축),"베란다를 불법 증축한 경우, 이행강제금은 어떻게 계산하나요?","「건축법」을 위반하여 건축물을 만든 경우, 이행강제금은 다음과 같이 계산합니다.<br/>☞ 위법한 증축에 대한 이행강제금은 「지방세법」에 따라 해당 건축물에 적용되는 1제곱미터의 시가표준액의 100분의 50에 해당하는 금액에 위반면적을 곱한 금액 이하의 범위에서 위반 내용에 따른 비율을 곱한 금액(「건축법」 제80조제1항제1호 및 「건축법 시행령」 제115조의3제1항)이 됩니다.<br/>",2020-06-01 18:32
502,84,5571,부동산/임대차,건축법 등 위반건축물(불법건축물),행정상 제재(용도변경),"「개발제한구역의 지정 및 관리에 관한 특별조치법」을 위반하여 건축이나 용도변경을 하면 허가대상인지, 신고대상인지에 따라 이행강제금이 다르게 부과되던데 어떻게 다른가요?","네, 개발제한구역 내에서 위법한 건축이나 용도변경을 하면 허가대상이 신고대상보다 2배 많은 이행강제금을 부과 받게 됩니다.<br/>◇ 이행강제금<br/>☞ 허가 또는 신고의무 위반행위가 건축물의 건축 또는 용도변경인 경우: 해당 건축물에 적용되는 「지방세법」에 따른 건축물 시가표준액의 100분의 50의 범위에서 다음의 정하는 금액에 위반행위에 이용된 건축물의 연면적을 곱한 금액<br/>테이블 단락<br/>",2020-06-01 18:29
503,84,5565,부동산/임대차,건축법 등 위반건축물(불법건축물),건축물이란?,쇠 파이프를 땅에 고정시켜 기둥을 세우고 천막으로 지붕처럼 덮었는데 이것도 건축물에 해당하나요?,"네, 건축물에 해당할 수 있습니다.<br/>◇ 건축물이란<br/>☞ 건축물이란 토지에 정착(定着)하는 공작물 중 지붕과 기둥 또는 벽이 있는 것과 이에 딸린 시설물(예. 담장·대문 등), 지하나 고가(高架)의 공작물에 설치하는 사무소·공연장·점포·차고·창고 등을 말합니다.<br/>☞ 또한 건축물은 토지에 정착하는 공작물 중 지붕과 기둥·벽이 있는 것과 부수시설물을 말하는 것으로서 이 경우 토지에 “정착”한다는 의미는 대지의 범위가 확정되어 건축(설치)된 시설물 등이 사실상 이동이 불가능하거나, 이동이 가능하다 할지라도 이동의 실익이 없어 상당기간 현저한 이동이 추정되지 않는 경우까지 확대할 수 있습니다.<br/>",2020-06-01 18:34
504,84,6071,부동산/임대차,공공임대주택 입주자,국민임대주택 일반공급 입주자격,국민임대주택 일반공급 입주자 모집공고가 나서 신청을 하려고 합니다. 공급면적에 따라 조건이 다르게 나와 있어서 헷갈리네요. 전용면적이 70㎡인 경우 입주자격이 궁금합니다.,"국민임대주택 입주자 모집공고일 현재 무주택세대구성원으로서 전용면적 60㎡를 초과하는 국민임대주택의 경우 다음의 입주 자격을 갖추어야 합니다.<br/>◇ 입주자격<br/>☞ 해당 세대의 월평균소득이 전년도 도시근로자 가구원수별 가구당 월평균소득의 100%(가구원 수가 1명인 경우에는 120%, 2명인 경우에는 110%) 이하인 사람(단독세대주는 제외)<br/>",2023-03-17 16:41
505,84,6075,부동산/임대차,공공임대주택 입주자,분양전환공공임대주택 공급별 입주자격,"저는 35살 회사원입니다. 최근 청년을 대상으로 하는 분양전환공고임대주택이 있다고 기사로 접하게 되었는데, 분양전환공공임대주택에 당첨되려면 어떤 자격요건이 되어야 하는지 궁금합니다.","분양전환공공임대주택 청년 대상 특별공급에 신청하기 위해서는 다음의 요건을 갖추어야 합니다.<br/>◇ 청년 대상 특별공급<br/>☞ 입주자 모집공고일 현재 청년(19세 이상 39세 이하로 혼인 중이 아니며, 과거 주택을 소유한 사실이 없는 사람으로 한정)인 무주택자(청년이 주택을 소유하고 있지 않은 경우를 말하며 청년이 속한 세대의 다른 세대구성원이 주택을 소유한 경우에도 무주택자로 봄)로서 다음의 입주요건을 갖춘 사람은 그 건설량의 15%의 범위에서 한 차례에 한정하여 1세대 1주택의 기준으로 특별공급을 받을 수 있습니다.<br/>",2023-03-17 16:54
506,84,6073,부동산/임대차,공공임대주택 입주자,통합공공임대주택 일반공급 입주자격,"저는 5살 딸이 있는 미혼모입니다. 통합공공임대주택으로 입주신청을 하고 싶은데, 자격 요건이 어떻게 되는지 궁금합니다.",통합공공임대주택은 입주자모집공고일 현재 한부모가족 등의 구분에 따라 해당 자격 요건을 만족하는 사람에게 1세대 1주택의 기준으로 공급하고 있습니다.<br/>◇ 통합공공임대주택 한부모가족 입주 자격 요건<br/>☞ 한부모가족으로서 다음의 요건을 모두 갖춘 사람은 통합공공임대주택 입주를 신청할 수 있습니다.<br/>? 6세 이하 자녀를 둔 한부모가족<br/>,2023-03-17 16:50
507,84,6068,부동산/임대차,공공임대주택 입주자,공공임대주택 알아보기,공공임대주택을 찾아보니 종류가 많아서 헷갈립니다. 임대주택마다 무엇이 다른가요?,"공공임대주택은 영구임대주택, 국민임대주택, 행복주택, 통합공공임대주택, 장기전세주택, 분양전환공공임대주택, 기존주택등매입임대주택, 기존주택전세임대주택이 있으며 각각의 임대주택은 다음과 같습니다.<br/>◇ 공공임대주택의 종류<br/>☞ 영구임대주택 : 국가나 지방자치단체의 재정을 지원받아 최저소득 계층의 주거안정을 위하여 50년 이상 또는 영구적인 임대를 목적으로 공급하는 공공임대주택을 말합니다.<br/>",2023-03-17 15:52
